Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Tissue Expression	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Unnamed: 31	Unnamed: 32	Unnamed: 33	Unnamed: 34	Unnamed: 35	Unnamed: 36	Unnamed: 37	Unnamed: 38	Unnamed: 39	Unnamed: 40	Unnamed: 41	Unnamed: 42	Unnamed: 43	Unnamed: 44	Unnamed: 45	Unnamed: 46	Unnamed: 47	Unnamed: 48	Unnamed: 49	Unnamed: 50	Unnamed: 51	Unnamed: 52	Unnamed: 53	Unnamed: 54	Unnamed: 55	Unnamed: 56	Unnamed: 57	Unnamed: 58	Unnamed: 59	Unnamed: 60	Unnamed: 61	Unnamed: 62	Unnamed: 63	Unnamed: 64	Unnamed: 65	Unnamed: 66	Unnamed: 67	Unnamed: 68	Unnamed: 69	Unnamed: 70	Unnamed: 71	Unnamed: 72	Unnamed: 73	Unnamed: 74	Unnamed: 75	Unnamed: 76	Unnamed: 77	Unnamed: 78	Unnamed: 79	Unnamed: 80	Unnamed: 81	Unnamed: 82	Unnamed: 83	Unnamed: 84	Unnamed: 85	Unnamed: 86	Unnamed: 87	Unnamed: 88	Unnamed: 89	Unnamed: 90	Unnamed: 91	Unnamed: 92	Unnamed: 93	Unnamed: 94	Unnamed: 95	Unnamed: 96	Unnamed: 97	Unnamed: 98	Unnamed: 99	Unnamed: 100
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	MO4L1_HUMAN	Mortality factor 4-like protein 1	2f5kD	chain D	2f5kDF	MO4L1_HUMAN - MO4L1_HUMAN	-8.02	-4.09	22	24	91.67%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, skeletal muscle, skin 1, skin 2, small intestine, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.121840997	0.458333333	0.05584379	-0.447867199																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	SUV91_HUMAN	Histone-lysine N-methyltransferase SUV39H1	3mtsC	chain C	3mtsBC	SUV91_HUMAN - SUV91_HUMAN	-5.448	-10.095	26	33	78.79%	No expression data available	1.0	0.746656662	0.787878788	0.588274945	-3.204921903																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	LTOR1_HUMAN	Ragulator complex protein LAMTOR1	6ehrE	chain E	6ehrEG	LTOR1_HUMAN - RRAGC_HUMAN	-9.943	-12.403	44	47	93.62%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder	1.0	0.71610072	0.936170213	0.670392164	-6.665709285																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	INADL_HUMAN	InaD-like protein	1vf6B	chain B	1vf6AB	INADL_HUMAN - INADL_HUMAN	-11.712	-14.353	23	26	88.46%	adrenal gland, appendix, bone marrow, breast, bronchus, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.26101331	0.442307692	0.115448195	-1.352129259																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	LTV1_HUMAN	Protein LTV1 homolog	6g18t	chain t	6g18tv	LTV1_HUMAN - RIOK2_HUMAN	-7.036	-5.875	18	19	94.74%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.209159365	0.473684211	0.099075489	-0.697095139																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	ROCK1_HUMAN	Rho-associated protein kinase 1	4l2wA	chain A	4l2wAD	ROCK1_HUMAN - ROCK1_HUMAN	-8.465	-10.048	23	24	95.83%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.0	0.479166667	0	0																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	ROCK1_HUMAN	Rho-associated protein kinase 1	4l2wC	chain C	4l2wBC	ROCK1_HUMAN - ROCK1_HUMAN	-7.043	-10.072	28	35	80.00%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.0	0.8	0	0																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	ROCK1_HUMAN	Rho-associated protein kinase 1	5f5pC	chain C	5f5pAC	ROCK1_HUMAN - SHRM2_HUMAN	-11.728	-11.075	47	50	94.00%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.5	0.350035012	1.41	0.493549367	-5.788346979																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	RS29_HUMAN	40S ribosomal protein S29	5a2qd	chain d	5a2qDd	RS29_HUMAN - RS3_HUMAN	-5.097	-6.125	17	18	94.44%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.0	0.472222222	0	0																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	VIME_HUMAN	Vimentin	3g1eB	chain B	3g1eAB	VIME_HUMAN - VIME_HUMAN	-5.931	-17.106	26	32	81.25%	No expression data available	1.0	0.167576921	0.8125	0.136156248	-0.807542708																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	VTNC_HUMAN	Vitronectin	1oc0B	chain B	1oc0AB	VTNC_HUMAN - PAI1_HUMAN	-6.227	-11.223	39	42	92.86%	No expression data available	1.0	0.739345986	0.928571429	0.686535558	-4.275056921																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	LTOR1_HUMAN	Ragulator complex protein LAMTOR1	6b9xA	chain A	6b9xAB	LTOR1_HUMAN - LTOR2_HUMAN	-6.983	-13.881	40	41	97.56%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder	1.0	0.28511763	0.975609756	0.278163541	-1.942416007																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	UBAP1_HUMAN	Ubiquitin-associated protein 1	5lm1B	chain B	5lm1AB	UBAP1_HUMAN - PTN23_HUMAN	-5.898	-11.682	41	46	89.13%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.557554565	0.891304348	0.496950808	-2.931015865																																																																																	
5mhkB	HUMAN HERPESVIRUS 1	ICP4 DNA BINDING DOMAIN	INS_HUMAN	Insulin	1evrE	chain E	1evrEF	INS_HUMAN - INS_HUMAN	-5.025	-10.7	19	26	73.08%	No expression data available	0.5	0.526626904	0.365384615	0.192421369	-0.966917377																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	AL7A1_HUMAN	Alpha-aminoadipic semialdehyde dehydrogenase	2j6lF	chain F	2j6lAF	AL7A1_HUMAN - AL7A1_HUMAN	-5.949	-6.016	26	36	72.22%	No expression data available	1.0	0.001244042	0.722222222	0.000898475	-0.005345025																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	SYRC_HUMAN	Arginine--tRNA ligase, cytoplasmic	4r3zB	chain B	4r3zAB	SYRC_HUMAN - AIMP1_HUMAN	-14.432	-12.167	35	39	89.74%	adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, epididymis, esophagus, gallbladder, hippocampus, liver, nasopharynx, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, skin 1, skin 2, small intestine, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder	1.0	0.100298992	0.897435897	0.090011916	-1.29905197																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	CSN2_HUMAN	COP9 signalosome complex subunit 2	4d10B	chain B	4d10BE	CSN2_HUMAN - CSN5_HUMAN	-11.401	-8.598	23	30	76.67%	adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.044996018	0.766666667	0.034496947	-0.393299692																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	TY3H_HUMAN	Tyrosine 3-monooxygenase	2xsnB	chain B	2xsnAB	TY3H_HUMAN - TY3H_HUMAN	-8.039	-11.34	27	27	100.00%	No expression data available	0.5	0.209159365	0.5	0.104579683	-0.840716068																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	MID51_HUMAN	Mitochondrial dynamics protein MID51	5x9cB	chain B	5x9cAB	MID51_HUMAN - MID51_HUMAN	-6.976	-9.59	26	39	66.67%	No expression data available	1.0	0.319195305	0.666666667	0.21279687	-1.484470967																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	VINC_HUMAN	Vinculin	4ehpA	chain A	4ehpAB	VINC_HUMAN - CTNA1_HUMAN	-11.011	-37.465	39	51	76.47%	No expression data available	1.5	0.999898373	1.147058824	1.146942251	-12.62898113																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	TRBC1_HUMAN	T cell receptor beta constant 1	4jfdE	chain E	4jfdAE	TRBC1_HUMAN - 1A02_HUMAN	-5.468	-9.656	22	25	88.00%	No expression data available	0.5	0.209159365	0.44	0.092030121	-0.5032207																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	RABX5_HUMAN	Rab5 GDP/GTP exchange factor	4q9uA	chain A	4q9uAC	RABX5_HUMAN - RABE1_HUMAN	-11.583	-9.639	48	51	94.12%	No expression data available	1.5	0.044440511	1.411764706	0.062739545	-0.726712146																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	TAF6_HUMAN	Transcription initiation factor TFIID subunit 6	5furJ	chain J	5furJL	TAF6_HUMAN - TAF8_HUMAN	-7.204	-5.592	18	18	100.00%	No expression data available	0.5	0.02598991	0.5	0.012994955	-0.093615657																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	TRBC1_HUMAN	T cell receptor beta constant 1	3hg1E	chain E	3hg1AE	TRBC1_HUMAN - Q8WLS4_HUMAN	-6.026	-5.188	22	25	88.00%	No expression data available	0.5	0.162465063	0.44	0.071484628	-0.430766366																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	PDC10_HUMAN	Programmed cell death protein 10	3rqgD	chain D	3rqgBD	PDC10_HUMAN - PDC10_HUMAN	-8.893	-4.898	17	20	85.00%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.043043225	0.425	0.01829337	-0.162682944																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	RB11A_HUMAN	Ras-related protein Rab-11A	2hv8A	chain A	2hv8AD	RB11A_HUMAN - RFIP3_HUMAN	-5.009	-13.878	23	29	79.31%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, small intestine, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	0.5	0.146161405	0.396551724	0.057960557	-0.290324431																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	CNTF_HUMAN	Ciliary neurotrophic factor	1cnt1	chain 1	1cnt14	CNTF_HUMAN - CNTF_HUMAN	-11.353	-14.992	36	41	87.80%	No expression data available	1.0	0.087528528	0.87804878	0.076854317	-0.872527062																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	RNF31_HUMAN	E3 ubiquitin-protein ligase RNF31	4p0aC	chain C	4p0aAC	RNF31_HUMAN - RNF31_HUMAN	-5.612	-8.663	22	32	68.75%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.001689906	0.6875	0.00116181	-0.00652008																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	DBLOH_HUMAN	Diablo homolog, mitochondrial	4tx5B	chain B	4tx5AB	DBLOH_HUMAN - DBLOH_HUMAN	-5.358	-24.428	38	56	67.86%	No expression data available	1.5	0.919518974	1.017857143	0.935938956	-5.014760924																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	RGS16_HUMAN	Regulator of G-protein signaling 16	2bt2B	chain B	2bt2BC	RGS16_HUMAN - RGS16_HUMAN	-5.65	-5.985	15	15	100.00%	No expression data available	0.5	0.0	0.5	0	0																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	RGS16_HUMAN	Regulator of G-protein signaling 16	2bt2E	chain E	2bt2AE	RGS16_HUMAN - RGS16_HUMAN	-5.97	-6.793	15	15	100.00%	No expression data available	0.5	0.0	0.5	0	0																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	CNTF_HUMAN	Ciliary neurotrophic factor	1cnt4	chain 4	1cnt14	CNTF_HUMAN - CNTF_HUMAN	-9.441	-14.992	46	57	80.70%	No expression data available	1.5	0.087528528	1.210526316	0.105955586	-1.00032669																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	APC7_HUMAN	Anaphase-promoting complex subunit 7	3fflC	chain C	3fflAC	APC7_HUMAN - APC7_HUMAN	-6.592	-11.098	19	30	63.33%	adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina	1.0	0.178591079	0.633333333	0.113107684	-0.745605851																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	LTOR3_HUMAN	Ragulator complex protein LAMTOR3	5y39C	chain C	5y39AC	LTOR3_HUMAN - LTOR1_HUMAN	-10.584	-14.986	23	29	79.31%	No expression data available	0.5	0.530487248	0.396551724	0.210365633	-2.226509858																																																																																	
2gumB	HUMAN HERPESVIRUS 1	GLYCOPROTEIN B	LTOR3_HUMAN	Ragulator complex protein LAMTOR3	5x6uA	chain A	5x6uAE	LTOR3_HUMAN - LTOR1_HUMAN	-5.097	-14.056	22	28	78.57%	No expression data available	0.5	0.454326773	0.392857143	0.178485518	-0.909740685																																																																																	
