Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	APC7_HUMAN	Anaphase-promoting complex subunit 7	3fflC	3fflAC	APC7_HUMAN - APC7_HUMAN	-6.036	-11.098	28	30	93.33%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.178591079	0.933333333	0.166685007	-1.006110705
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxA	3rpxAB	C1QBP_HUMAN - C1QBP_HUMAN	-5.364	-16.661	26	29	89.66%	No expression data available	0.5	0.82681418	0.448275862	0.370640839	-1.988117462
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	RABP2_HUMAN	Cellular retinoic acid-binding protein 2	1xcaA	1xcaAB	RABP2_HUMAN - RABP2_HUMAN	-5.015	-10.035	18	19	94.74%	No expression data available	0.5	0.38106885	0.473684211	0.180506297	-0.90523908
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	ATD2B_HUMAN	ATPase family AAA domain-containing protein 2B	3lxjA	3lxjAC	ATD2B_HUMAN - ATD2B_HUMAN	-8.097	-7.26	17	22	77.27%	No expression data available	0.5	0.025858619	0.386363636	0.00999083	-0.080895751
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxC	3rpxAC	C1QBP_HUMAN - C1QBP_HUMAN	-6.78	-17.223	26	32	81.25%	No expression data available	1	0.910506195	0.8125	0.739786283	-5.015750999
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	MSL2_HUMAN	E3 ubiquitin-protein ligase MSL2	4b7yD	4b7yAD	MSL2_HUMAN - MSL1_HUMAN	-5.981	-8.391	24	28	85.71%	No expression data available	0.5	0.08190861	0.428571429	0.03510369	-0.209955171
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88A	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-6.93	-18.038	25	44	56.82%	No expression data available	1	0.415689296	0.568181818	0.2361871	-1.636776602
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	JUN_HUMAN	Transcription factor AP-1	1jnmB	1jnmAB	JUN_HUMAN - JUN_HUMAN	-8.856	-20.025	25	40	62.50%	No expression data available	1	0.445811705	0.625	0.278632315	-2.467567785
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	ATF4_HUMAN	Cyclic AMP-dependent transcription factor ATF-4	1ci6A	1ci6AB	ATF4_HUMAN - CEBPB_MOUSE	-8.075	-20.884	25	42	59.52%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, urinary bladder, vagina"	1	0.210357134	0.595238095	0.12521258	-1.011091581
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	BOREA_HUMAN	Borealin	2raxB	2raxAB	BOREA_HUMAN - BIRC5_HUMAN	-7.091	-22.966	36	41	87.80%	No expression data available	1	0.32959884	0.87804878	0.28940386	-2.052162769
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	GABR2_HUMAN	Gamma-aminobutyric acid type B receptor subunit 2	4pasB	4pasAB	GABR2_HUMAN - GABR1_HUMAN	-7.368	-21.342	25	35	71.43%	No expression data available	1	0.576074139	0.714285714	0.411481528	-3.031795896
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2m59B	2m59AB	VGFR2_HUMAN - VGFR2_HUMAN	-5.37	-10.954	25	32	78.13%	No expression data available	1	0	0.78125	0	0
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	FOS_HUMAN	Proto-oncogene c-Fos	1a02F	1a02FJ	FOS_HUMAN - JUN_HUMAN	-5.242	-20.486	27	36	75.00%	"adrenal gland, appendix, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.173400927	0.75	0.130050695	-0.681725745
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1	3bj4B	3bj4AB	KCNQ1_HUMAN - KCNQ1_HUMAN	-5.421	-14.446	25	35	71.43%	No expression data available	1	0.254243896	0.714285714	0.181602783	-0.984468685
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2	2meuB	2meuAB	VGFR2_HUMAN - VGFR2_HUMAN	-5.827	-6.608	25	35	71.43%	No expression data available	1	0.345504839	0.714285714	0.246789171	-1.438040497
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	MYPT1_HUMAN	Protein phosphatase 1 regulatory subunit 12A	5huzB	5huzAB	MYPT1_HUMAN - MYPT1_HUMAN	-6.015	-12.668	31	44	70.45%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.265027401	0.704545455	0.18672385	-1.12314396
6wijA	"INFLUENZA A VIRUS, INFLUENZA A VIRU"	POLYMERASE ACIDIC PROTEIN	TSC1_HUMAN	Hamartin	5ejcC	5ejcCD	TSC1_HUMAN - TSC1_HUMAN	-7.557	-18.024	25	34	73.53%	No expression data available	1	0.737698633	0.735294118	0.542425465	-4.099109241
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	PH4H_HUMAN	Phenylalanine-4-hydroxylase	2pahA	2pahAB	PH4H_HUMAN - PH4H_HUMAN	-5.513	-8.662	23	27	85.19%	No expression data available	0.5	0.209159365	0.425925926	0.089086396	-0.491133303
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	SNR40_HUMAN	U5 small nuclear ribonucleoprotein 40 kDa protein	5z58E	5z58AE	SNR40_HUMAN - PRP8_HUMAN	-6.392		23	29	79.31%	No expression data available	0.5	0.066852424	0.396551724	0.026510444	-0.169454758
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	KIF2A_HUMAN	Kinesin-like protein KIF2A	6bbnE	6bbnBE	KIF2A_HUMAN - TBB2B_BOVIN	-5.063	-3.57	38	45	84.44%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, lung, lymph node, nasopharynx, pancreas, parathyroid gland, placenta, rectum, skin 1, skin 2, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, testis, tonsil, urinary bladder"	1	0.209159365	0.844444444	0.176623464	-0.894244598
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	PSMD6_HUMAN	26S proteasome non-ATPase regulatory subunit 6	5ln3R	5ln3RU	PSMD6_HUMAN - PSMD7_HUMAN	-6.242	-4.068	24	29	82.76%	No expression data available	0.5	0	0.413793103	0	0
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	PLK1_HUMAN	Serine/threonine-protein kinase PLK1	5j19A	5j19AB	PLK1_HUMAN - PLK1_HUMAN	-5.175	-9.102	33	34	97.06%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.578145195	0.970588235	0.561140925	-2.903904286
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2	1ovlF	1ovlCF	NR4A2_HUMAN - NR4A2_HUMAN	-6.249	-10.13	19	28	67.86%	No expression data available	0.5	0.180863211	0.339285714	0.061364304	-0.383465534
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	IL2_HUMAN	Interleukin-2	1m48B	1m48AB	IL2_HUMAN - IL2_HUMAN	-6.463	-11.065	24	28	85.71%	No expression data available	0.5	0.000729254	0.428571429	0.000312537	-0.00201993
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	BRD4_HUMAN	Bromodomain-containing protein 4	5eguB	5eguAB	BRD4_HUMAN - BRD4_HUMAN	-5.321	-11.797	26	35	74.29%	No expression data available	1	0.209159365	0.742857143	0.155375528	-0.826753187
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	APC7_HUMAN	Anaphase-promoting complex subunit 7	3fflC	3fflAC	APC7_HUMAN - APC7_HUMAN	-5.615	-11.098	28	30	93.33%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.178591079	0.933333333	0.166685007	-0.935936317
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxA	3rpxAB	C1QBP_HUMAN - C1QBP_HUMAN	-5.034	-16.661	26	29	89.66%	No expression data available	0.5	0.82681418	0.448275862	0.370640839	-1.865805985
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	ATD2B_HUMAN	ATPase family AAA domain-containing protein 2B	3lxjA	3lxjAC	ATD2B_HUMAN - ATD2B_HUMAN	-5.51	-7.26	19	22	86.36%	No expression data available	0.5	0.025858619	0.431818182	0.011166222	-0.061525882
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	MDM2_HUMAN	E3 ubiquitin-protein ligase Mdm2	3lblE	3lblAE	MDM2_HUMAN - MDM2_HUMAN	-5.036	-10.121	22	32	68.75%	No expression data available	1	0.004693574	0.6875	0.003226832	-0.016250328
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	PHC3_HUMAN	Polyhomeotic-like protein 3	4pznA	4pznAC	PHC3_HUMAN - PHC3_HUMAN	-5.075	-7.747	19	22	86.36%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.152060124	0.431818182	0.065662326	-0.333236306
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	LYRM4_HUMAN	LYR motif-containing protein 4	5usrB	5usrBK	LYRM4_HUMAN - ACP_ECOLI	-5.15	-9.179	25	25	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.194095986	0.5	0.097047993	-0.499797163
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	RABE1_HUMAN	Rab GTPase-binding effector protein 1	1x79C	1x79BC	RABE1_HUMAN - RABE1_HUMAN	-8.716	-19.618	26	45	57.78%	No expression data available	1	0.293413078	0.577777778	0.169527556	-1.477602178
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	JUN_HUMAN	Transcription factor AP-1	1jnmB	1jnmAB	JUN_HUMAN - JUN_HUMAN	-8.41	-20.025	25	40	62.50%	No expression data available	1	0.445811705	0.625	0.278632315	-2.343297772
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	BOREA_HUMAN	Borealin	2raxB	2raxAB	BOREA_HUMAN - BIRC5_HUMAN	-7.498	-22.966	34	41	82.93%	No expression data available	1	0.32959884	0.829268293	0.273325867	-2.049397354
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	BRMS1_HUMAN	Breast cancer metastasis-suppressor 1	2xusB	2xusAB	BRMS1_HUMAN - BRMS1_HUMAN	-5.572	-13.471	25	41	60.98%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.003130301	0.609756098	0.00190872	-0.010635387
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1	3bj4B	3bj4AB	KCNQ1_HUMAN - KCNQ1_HUMAN	-5.706	-14.446	25	35	71.43%	No expression data available	1	0.254243896	0.714285714	0.181602783	-1.036225478
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	TBK1_HUMAN	Serine/threonine-protein kinase TBK1	5ep6B	5ep6BC	TBK1_HUMAN - AZI2_HUMAN	-5.11	-12.548	26	35	74.29%	No expression data available	1	0.493264034	0.742857143	0.366424711	-1.872430272
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	MYPT1_HUMAN	Protein phosphatase 1 regulatory subunit 12A	5huzB	5huzAB	MYPT1_HUMAN - MYPT1_HUMAN	-6.539	-12.668	32	44	72.73%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.265027401	0.727272727	0.1927472	-1.260373943
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	NCOR2_HUMAN	Nuclear receptor corepressor 2	2l5gB	2l5gAB	NCOR2_HUMAN - GPS2_HUMAN	-8.626	-12.421	26	35	74.29%	"adrenal gland, appendix, bone marrow, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, nasopharynx, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.358187832	0.742857143	0.266082389	-2.295226689
8e4sA	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	TSC1_HUMAN	Hamartin	5ejcC	5ejcCD	TSC1_HUMAN - TSC1_HUMAN	-6.808	-18.024	26	34	76.47%	No expression data available	1	0.737698633	0.764705882	0.564122484	-3.84054587
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	KLOTB_HUMAN	Beta-klotho	5wi9A	5wi9AB	KLOTB_HUMAN - KLOTB_HUMAN	-6.631	-6.38	25	34	73.53%	No expression data available	1	0.078403832	0.735294118	0.057649876	-0.382276329
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	DCAF1_HUMAN	DDB1- and CUL4-associated factor 1	4z8lA	4z8lAB	DCAF1_HUMAN - Q7ZB17_SIV	-8.978	-23.476	41	58	70.69%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.710076007	1.060344828	0.752925421	-6.759764427
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	PLK1_HUMAN	Serine/threonine-protein kinase PLK1	5j19A	5j19AB	PLK1_HUMAN - PLK1_HUMAN	-6.217	-9.102	30	34	88.24%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.578145195	0.882352941	0.510128113	-3.171466481
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	UCK2_HUMAN	Uridine-cytidine kinase 2	1ufqD	1ufqAD	UCK2_HUMAN - UCK2_HUMAN	-5.076	-13.299	31	40	77.50%	No expression data available	1	0.954731304	0.775	0.73991676	-3.755817476
5vrjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	RAC1_HUMAN	Ras-related C3 botulinum toxin substrate 1	5fi0D	5fi0DG	RAC1_HUMAN - PREX1_HUMAN	-5.482	-4.425	18	29	62.07%	"appendix, bone marrow, breast, bronchus, cerebral cortex, cervix, uterine, colon, duodenum, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina"	0.5	0.162465063	0.310344828	0.050420192	-0.276403492
