Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	DPOA2_HUMAN	DNA polymerase alpha subunit B	4y97A	4y97AB	DPOA2_HUMAN - DPOLA_HUMAN	-10.342	-22.563	43	58	74.14%	No expression data available	1.5	0.920470873	1.112068966	1.023627091	-10.58635138	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	RBBP4_HUMAN	Histone-binding protein RBBP4	4pbyB	4pbyAB	RBBP4_HUMAN - RBBP4_HUMAN	-7.383	-10.365	24	35	68.57%	No expression data available	1	0.008759196	0.685714286	0.006006306	-0.044344556	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	HSP7C_HUMAN	Heat shock cognate 71 kDa protein	3fzfA	3fzfAB	HSP7C_HUMAN - BAG1_HUMAN	-5.864	-9.136	40	52	76.92%	No expression data available	1.5	0.856457955	1.153846154	0.988220718	-5.794926288	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	FDFT_HUMAN	Squalene synthase	3vjbC	3vjbAC	FDFT_HUMAN - FDFT_HUMAN	-5.308	-14.446	27	33	81.82%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, placenta, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	1	0.090917571	0.818181818	0.074387103	-0.394846745	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	GSK3B_HUMAN	Glycogen synthase kinase-3 beta	1o9uA	1o9uAB	GSK3B_HUMAN - AXIN1_HUMAN	-10.764	-14.593	18	18	100.00%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0.741508718	0.5	0.370754359	-3.990799918	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	IPO4_HUMAN	Importin-4	5xahD	5xahCD	IPO4_HUMAN - IPO4_HUMAN	-8.19	-16.895	28	47	59.57%	No expression data available	1	0.886253419	0.595744681	0.52798076	-4.324162427	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	TY3H_HUMAN	Tyrosine 3-monooxygenase	2xsnB	2xsnAB	TY3H_HUMAN - TY3H_HUMAN	-7.87	-11.34	27	27	100.00%	No expression data available	0.5	0.209159365	0.5	0.104579683	-0.823042102	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	STPAP_HUMAN	Speckle targeted PIP5K1A-regulated poly(A) polymerase	5wu6D	5wu6CD	STPAP_HUMAN - STPAP_HUMAN	-7.402	-8.688	29	34	85.29%	No expression data available	1	0.519845478	0.852941176	0.443397613	-3.282029135	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	STK3_HUMAN	Serine/threonine-protein kinase 3	4lgdD	4lgdDH	STK3_HUMAN - RASF5_HUMAN	-10.337	-10.26	34	39	87.18%	No expression data available	1	0.137759475	0.871794872	0.120098004	-1.241453066	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	NDRG2_HUMAN	Protein NDRG2	2xmrB	2xmrBC	NDRG2_HUMAN - NDRG2_HUMAN	-5.076	-6.931	15	15	100.00%	No expression data available	0.5	0.557053585	0.5	0.278526793	-1.413801999	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	PH4H_HUMAN	Phenylalanine-4-hydroxylase	2pahA	2pahAB	PH4H_HUMAN - PH4H_HUMAN	-9.275	-8.662	27	27	100.00%	No expression data available	0.5	0.209159365	0.5	0.104579683	-0.969976556	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	MERL_HUMAN	Merlin	4zriA	4zriAC	MERL_HUMAN - LATS2_HUMAN	-9.447	-14.925	20	20	100.00%	No expression data available	0.5	0.437018857	0.5	0.218509429	-2.064258573	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	CNOT9_HUMAN	CCR4-NOT transcription complex subunit 9	5lswA	5lswAB	CNOT9_HUMAN - Q9VV48_DROME	-9.259	-16.198	18	21	85.71%	"adrenal gland, appendix, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.863791789	0.428571429	0.370196481	-3.427649217	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	DHI1_HUMAN	Corticosteroid 11-beta-dehydrogenase isozyme 1	1xu9C	1xu9AC	DHI1_HUMAN - DHI1_HUMAN	-7.909	-10.707	23	23	100.00%	No expression data available	0.5	0.162465063	0.5	0.081232531	-0.64246809	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	ABL1_HUMAN	Tyrosine-protein kinase ABL1	3pyyA	3pyyAB	ABL1_HUMAN - ABL1_HUMAN	-6.956	-15.086	25	42	59.52%	No expression data available	1	0.512661367	0.595238095	0.305155575	-2.122662183	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	KAT8_HUMAN	Histone acetyltransferase KAT8	2y0mA	2y0mAB	KAT8_HUMAN - MSL1_MOUSE	-6.943	-13.09	25	29	86.21%	No expression data available	0.5	0.928034069	0.431034483	0.400014685	-2.777301957	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	UBC_HUMAN	Polyubiquitin-C	5b83A	5b83AB	UBC_HUMAN - OPTN_HUMAN	-9.493	-10.41	26	26	100.00%	No expression data available	0.5	0.32959884	0.5	0.16479942	-1.564440895	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	VINC_HUMAN	Vinculin	3s90A	3s90AC	VINC_HUMAN - TLN1_MOUSE	-20.244	-27.044	27	27	100.00%	No expression data available	0.5	0.995684594	0.5	0.497842297	-10.07831946	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	COG4_HUMAN	Conserved oligomeric Golgi complex subunit 4	3hr0B	3hr0AB	COG4_HUMAN - COG4_HUMAN	-8.667	-43.147	53	80	66.25%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	2	0.811938346	1.325	1.075818308	-9.324117275	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	VINC_HUMAN	Vinculin	4ehpA	4ehpAB	VINC_HUMAN - CTNA1_HUMAN	-8.934	-37.465	35	51	68.63%	No expression data available	1.5	0.999898373	1.029411765	1.029307149	-9.195830066	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	VINC_HUMAN	Vinculin	2gwwA	2gwwAB	VINC_HUMAN - IPAA_SHIFL	-6.648	-23.71	21	21	100.00%	No expression data available	0.5	0.882448846	0.5	0.441224423	-2.933259966	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2	1ovlF	1ovlCF	NR4A2_HUMAN - NR4A2_HUMAN	-6.437	-10.13	23	28	82.14%	No expression data available	0.5	0.180863211	0.410714286	0.074283105	-0.478160344	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	EGLN1_HUMAN	Egl nine homolog 1	5l9vB	5l9vAB	EGLN1_HUMAN - EGLN1_HUMAN	-7.886	-3.836	20	34	58.82%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.004772078	0.588235294	0.002807105	-0.02213683	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	VINC_HUMAN	Vinculin	2ibfA	2ibfAD	VINC_HUMAN - IPAA_SHIFL	-8.157	-10.378	19	19	100.00%	No expression data available	0.5	0.348163573	0.5	0.174081786	-1.419985131	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	TERF2_HUMAN	Telomeric repeat-binding factor 2	3buaB	3buaAB	TERF2_HUMAN - TERF2_HUMAN	-8.112	-17.726	37	58	63.79%	No expression data available	1.5	0.975146915	0.956896552	0.93311472	-7.569426609	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	VINC_HUMAN	Vinculin	2hsqA	2hsqAB	VINC_HUMAN - Q6XVZ2_SHIFL	-17.665	-21.694	23	23	100.00%	No expression data available	0.5	0.972060864	0.5	0.486030432	-8.585727578	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	ABC3A_HUMAN	DNA dC->dU-editing enzyme APOBEC-3A	5swwD	5swwBD	ABC3A_HUMAN - ABC3A_HUMAN	-7.826	-5.694	17	24	70.83%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.087121452	0.354166667	0.030855514	-0.241475254	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	VINC_HUMAN	Vinculin	1rkcA	1rkcAB	VINC_HUMAN - TLN1_CHICK	-9.885	-20.615	26	26	100.00%	No expression data available	0.5	0.828234087	0.5	0.414117044	-4.093546977	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	RB11B_HUMAN	Ras-related protein Rab-11B	4ojkA	4ojkAC	RB11B_HUMAN - KGP2_RAT	-5.757	-12.578	32	32	100.00%	No expression data available	1	0.126606637	1	0.126606637	-0.728874407	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	RAB10_HUMAN	Ras-related protein Rab-10	5lpnA	5lpnAB	RAB10_HUMAN - MICA1_HUMAN	-6.867	-16.646	41	59	69.49%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.302706034	1.042372881	0.315532561	-2.166762095	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	PSD11_HUMAN	26S proteasome non-ATPase regulatory subunit 11	5vfrX	5vfrXZ	PSD11_HUMAN - PSMD7_HUMAN	-5.324	-5.712	34	34	100.00%	"adrenal gland, appendix, bone marrow, caudate, cerebral cortex, colon, endometrium 1, endometrium 2, fallopian tube, heart muscle, kidney, lung, nasopharynx, placenta, skin 1, skin 2, soft tissue 2, testis, thyroid gland, tonsil"	1	0	1	0	0	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	LORF1_HUMAN	LINE-1 retrotransposable element ORF1 protein	2ykoA	2ykoAC	LORF1_HUMAN - LORF1_HUMAN	-8.628	-18.18	49	58	84.48%	No expression data available	1.5	0.265027401	1.267241379	0.335853689	-2.897745625	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	RAB7A_HUMAN	Ras-related protein Rab-7a	1yhnA	1yhnAB	RAB7A_HUMAN - RILP_HUMAN	-6.118	-7.353	32	32	100.00%	No expression data available	1	0.209159365	1	0.209159365	-1.279636996	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	FRIL_HUMAN	Ferritin light chain	2fg8A	2fg8AE	FRIL_HUMAN - FRIL_HUMAN	-6.198	-9.197	26	34	76.47%	No expression data available	1	0.209159365	0.764705882	0.159945397	-0.99134157	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	FRIL_HUMAN	Ferritin light chain	2fg8G	2fg8BG	FRIL_HUMAN - FRIL_HUMAN	-6.172	-9.504	25	37	67.57%	No expression data available	1	0.366728598	0.675675676	0.247789593	-1.529357367	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	CNTF_HUMAN	Ciliary neurotrophic factor	1cnt1	1cnt14	CNTF_HUMAN - CNTF_HUMAN	-11.283	-14.992	31	41	75.61%	No expression data available	1	0.087528528	0.756097561	0.066180106	-0.74671014	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	RM46_HUMAN	"39S ribosomal protein L46, mitochondrial"	5oome	5oom8e	RM46_HUMAN - RM40_HUMAN	-5.161		46	77	59.74%	No expression data available	1.5	0.97439003	0.896103896	0.873154702	-4.506351418	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	BCL2_HUMAN	Apoptosis regulator Bcl-2	5fcgA	5fcgAC	BCL2_HUMAN - X_HBVF4	-5.103	-21.31	24	26	92.31%	No expression data available	0.5	0.872446571	0.461538462	0.402667648	-2.054813007	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	XRCC4_HUMAN	DNA repair protein XRCC4	3q4fD	3q4fCD	XRCC4_HUMAN - XRCC4_HUMAN	-10.913	-27.16	43	63	68.25%	No expression data available	1.5	0.994558117	1.023809524	1.018238072	-11.11203208	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	NGB_HUMAN	Neuroglobin	1oj6B	1oj6AB	NGB_HUMAN - NGB_HUMAN	-6.464	-7.045	26	33	78.79%	No expression data available	1	0.035654669	0.787878788	0.028091558	-0.181583829	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	SNX16_HUMAN	Sorting nexin-16	5gw0D	5gw0BD	SNX16_HUMAN - SNX16_HUMAN	-11.619	-5.43	45	60	75.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.069604274	1.125	0.078304808	-0.909823561	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	UBE2N_HUMAN	Ubiquitin-conjugating enzyme E2 N	3hcuD	3hcuBD	UBE2N_HUMAN - UBE2N_HUMAN	-5.689	-6.342	21	28	75.00%	No expression data available	0.5	0.00528405	0.375	0.001981519	-0.011272861	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	MCL1_HUMAN	Induced myeloid leukemia cell differentiation protein Mcl-1	3pk1A	3pk1AB	MCL1_HUMAN - BAX_HUMAN	-5.635	-17.23	24	24	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.841798902	0.5	0.420899451	-2.371768408	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	SHRM2_HUMAN	Protein Shroom2	5f4yB	5f4yAB	SHRM2_HUMAN - SHRM2_HUMAN	-6.209	-10.135	32	42	76.19%	"adrenal gland, appendix, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.458356906	0.761904762	0.349224309	-2.168333737	
2c9lZ	HUMAN HERPESVIRUS 4	5'-D(*AP*CP*TP*TP*CP*AP*CP*TP*GP*AP	RM47_HUMAN	"39S ribosomal protein L47, mitochondrial"	3j7yY	3j7y2Y	RM47_HUMAN - RM34_HUMAN	-9.795	-7.817	16	24	66.67%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.228984276	0.333333333	0.076328092	-0.747633662	
