Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	Unnamed: 19
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2	1ovlF	1ovlCF	NR4A2_HUMAN - NR4A2_HUMAN	-5.773	-10.13	19	28	67.86%	No expression data available	0.5	0.180863211	0.339285714	0.061364304	-0.354256125	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	PGRP4_HUMAN	Peptidoglycan recognition protein 4	2eavB	2eavAB	PGRP4_HUMAN - PGRP4_HUMAN	-6.275	-9.744	23	31	74.19%	No expression data available	1	0.118110578	0.741935484	0.087630429	-0.549880943	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	ATD2B_HUMAN	ATPase family AAA domain-containing protein 2B	3lxjA	3lxjAC	ATD2B_HUMAN - ATD2B_HUMAN	-5.992	-7.26	19	22	86.36%	No expression data available	0.5	0.025858619	0.431818182	0.011166222	-0.066908001	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	IL15_HUMAN	Interleukin-15	2z3rO	2z3rCO	IL15_HUMAN - IL15_HUMAN	-7.638	-14.229	36	40	90.00%	"adrenal gland, bone marrow, breast, caudate, cerebral cortex, cervix, uterine, colon, duodenum, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, oral mucosa, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.039751926	0.9	0.035776733	-0.273262687	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxC	3rpxAC	C1QBP_HUMAN - C1QBP_HUMAN	-7.807	-17.223	26	32	81.25%	No expression data available	1	0.910506195	0.8125	0.739786283	-5.775511512	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	IL15_HUMAN	Interleukin-15	2z3rG	2z3rGK	IL15_HUMAN - IL15_HUMAN	-7.137	-13.016	37	41	90.24%	"adrenal gland, bone marrow, breast, caudate, cerebral cortex, cervix, uterine, colon, duodenum, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, oral mucosa, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.120041694	0.902439024	0.108330309	-0.773153414	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	LYRM4_HUMAN	LYR motif-containing protein 4	5usrB	5usrBK	LYRM4_HUMAN - ACP_ECOLI	-5.919	-9.179	25	25	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.194095986	0.5	0.097047993	-0.57442707	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88A	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-11.09	-18.038	25	44	56.82%	No expression data available	1	0.415689296	0.568181818	0.2361871	-2.619314938	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	ATF4_HUMAN	Cyclic AMP-dependent transcription factor ATF-4	1ci6A	1ci6AB	ATF4_HUMAN - CEBPB_MOUSE	-9.198	-20.884	25	42	59.52%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, urinary bladder, vagina"	1	0.210357134	0.595238095	0.12521258	-1.151705308	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	CREB1_HUMAN	Cyclic AMP-responsive element-binding protein 1	5zkoC	5zkoAC	CREB1_HUMAN - CREB1_HUMAN	-8.146	-18.829	25	37	67.57%	No expression data available	1	0.068354302	0.675675676	0.046185339	-0.376225772	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	BAP31_HUMAN	B-cell receptor-associated protein 31	4jzpB	4jzpAB	BAP31_HUMAN - BAP31_HUMAN	-10.317	-23.841	25	42	59.52%	No expression data available	1	0.975792773	0.595238095	0.580829031	-5.992413116	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	TSC1_HUMAN	Hamartin	5ejcC	5ejcCD	TSC1_HUMAN - TSC1_HUMAN	-9.249	-18.024	25	34	73.53%	No expression data available	1	0.737698633	0.735294118	0.542425465	-5.016893128	
3ebjA	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	EPHA2_HUMAN	Ephrin type-A receptor 2	2k9yA	2k9yAB	EPHA2_HUMAN - EPHA2_HUMAN	-6.513	-8.385	25	30	83.33%	No expression data available	1	0	0.833333333	0	0	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	GLSK_HUMAN	"Glutaminase kidney isoform, mitochondrial"	5uqeD	5uqeAD	GLSK_HUMAN - GLSK_HUMAN	-5.49	-5.944	16	16	100.00%	No expression data available	0.5	0.209159365	0.5	0.104579683	-0.574142458	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	HSP7C_HUMAN	Heat shock cognate 71 kDa protein	4hwiA	4hwiAB	HSP7C_HUMAN - BAG1_ARATH	-6.295	-5.989	42	46	91.30%	No expression data available	1	0.430317173	0.913043478	0.392898289	-2.473294726	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	PH4H_HUMAN	Phenylalanine-4-hydroxylase	2pahA	2pahAB	PH4H_HUMAN - PH4H_HUMAN	-5.374	-8.662	23	27	85.19%	No expression data available	0.5	0.209159365	0.425925926	0.089086396	-0.478750294	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	SNR40_HUMAN	U5 small nuclear ribonucleoprotein 40 kDa protein	5z58E	5z58AE	SNR40_HUMAN - PRP8_HUMAN	-6.87		23	29	79.31%	No expression data available	0.5	0.066852424	0.396551724	0.026510444	-0.18212675	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	NR1H2_HUMAN	Oxysterols receptor LXR-beta	5hjpB	5hjpAB	NR1H2_HUMAN - RXRB_HUMAN	-5.517	-9.982	45	48	93.75%	No expression data available	1	0.686623869	0.9375	0.643709877	-3.551347391	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	VINC_HUMAN	Vinculin	1ydiA	1ydiAB	VINC_HUMAN - ACTN4_HUMAN	-6.654	-27.987	24	24	100.00%	No expression data available	0.5	0.925734845	0.5	0.462867422	-3.079919829	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	PLK1_HUMAN	Serine/threonine-protein kinase PLK1	5j19A	5j19AB	PLK1_HUMAN - PLK1_HUMAN	-5.008	-9.102	30	34	88.24%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.578145195	0.882352941	0.510128113	-2.554721592	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	CSN6_HUMAN	COP9 signalosome complex subunit 6	4d10F	4d10AF	CSN6_HUMAN - CSN1_HUMAN	-6.747	-8.957	25	34	73.53%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.162465063	0.735294118	0.119459605	-0.805993954	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2	1ovlF	1ovlCF	NR4A2_HUMAN - NR4A2_HUMAN	-7.554	-10.13	18	28	64.29%	No expression data available	0.5	0.180863211	0.321428571	0.058134604	-0.439148795	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	NR4A1_HUMAN	Nuclear receptor subfamily 4 group A member 1	2qw4B	2qw4BC	NR4A1_HUMAN - NR4A1_HUMAN	-5.754	-9.252	17	19	89.47%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.162465063	0.447368421	0.072681739	-0.418210723	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	RB11B_HUMAN	Ras-related protein Rab-11B	4ojkA	4ojkAC	RB11B_HUMAN - KGP2_RAT	-5.923	-12.578	25	32	78.13%	No expression data available	1	0.126606637	0.78125	0.098911435	-0.585852429	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxA	3rpxAB	C1QBP_HUMAN - C1QBP_HUMAN	-6.999	-16.661	26	29	89.66%	No expression data available	0.5	0.82681418	0.448275862	0.370640839	-2.594115234	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	APBB1_HUMAN	Amyloid-beta A4 precursor protein-binding family B member 1	5nqhA	5nqhAB	APBB1_HUMAN - APBB1_HUMAN	-5.239	-11.684	34	47	72.34%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.373681337	0.723404255	0.27032267	-1.416220466	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxC	3rpxAC	C1QBP_HUMAN - C1QBP_HUMAN	-8.235	-17.223	26	32	81.25%	No expression data available	1	0.910506195	0.8125	0.739786283	-6.092140041	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	MDM2_HUMAN	E3 ubiquitin-protein ligase Mdm2	3lblE	3lblAE	MDM2_HUMAN - MDM2_HUMAN	-5.01	-10.121	21	32	65.63%	No expression data available	1	0.004693574	0.65625	0.003080158	-0.015431592	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	NCBP2_HUMAN	Nuclear cap-binding protein subunit 2	1h6kZ	1h6kBZ	NCBP2_HUMAN - NCBP1_HUMAN	-5.549	-9.358	17	28	60.71%	No expression data available	0.5	0.6991732	0.303571429	0.212249007	-1.177769741	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	LYRM4_HUMAN	LYR motif-containing protein 4	5usrB	5usrBK	LYRM4_HUMAN - ACP_ECOLI	-7.192	-9.179	25	25	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, lung, lymph node, nasopharynx, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.194095986	0.5	0.097047993	-0.697969164	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	CEBPB_HUMAN	CCAAT/enhancer-binding protein beta	1h88A	1h88AB	CEBPB_HUMAN - CEBPB_HUMAN	-5.144	-18.038	25	44	56.82%	No expression data available	1	0.415689296	0.568181818	0.2361871	-1.214946442	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	JUN_HUMAN	Transcription factor AP-1	1jnmB	1jnmAB	JUN_HUMAN - JUN_HUMAN	-6.097	-20.025	25	40	62.50%	No expression data available	1	0.445811705	0.625	0.278632315	-1.698821227	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	ATF4_HUMAN	Cyclic AMP-dependent transcription factor ATF-4	1ci6A	1ci6AB	ATF4_HUMAN - CEBPB_MOUSE	-8.324	-20.884	25	42	59.52%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, urinary bladder, vagina"	1	0.210357134	0.595238095	0.12521258	-1.042269513	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	BRMS1_HUMAN	Breast cancer metastasis-suppressor 1	2xusB	2xusAB	BRMS1_HUMAN - BRMS1_HUMAN	-5.444	-13.471	25	41	60.98%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.003130301	0.609756098	0.00190872	-0.010391071	
3ebjB	INFLUENZA A VIRUS	POLYMERASE ACIDIC PROTEIN	TSC1_HUMAN	Hamartin	5ejcC	5ejcCD	TSC1_HUMAN - TSC1_HUMAN	-6.082	-18.024	25	34	73.53%	No expression data available	1	0.737698633	0.735294118	0.542425465	-3.299031679	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	CIP2A_HUMAN	Protein CIP2A	5uflB	5uflAB	CIP2A_HUMAN - CIP2A_HUMAN	-6.516	-19.09	41	46	89.13%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.99895305	0.891304348	0.890371197	-5.801658718	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	KLOTB_HUMAN	Beta-klotho	5wi9A	5wi9AB	KLOTB_HUMAN - KLOTB_HUMAN	-5.129	-6.38	26	34	76.47%	No expression data available	1	0.078403832	0.764705882	0.059955871	-0.307513663	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	GLSK_HUMAN	"Glutaminase kidney isoform, mitochondrial"	3uo9B	3uo9AB	GLSK_HUMAN - GLSK_HUMAN	-6.21	-8.199	20	22	90.91%	No expression data available	0.5	0.209159365	0.454545455	0.095072439	-0.590399845	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	PH4H_HUMAN	Phenylalanine-4-hydroxylase	2pahA	2pahAB	PH4H_HUMAN - PH4H_HUMAN	-7.298	-8.662	24	27	88.89%	No expression data available	0.5	0.209159365	0.444444444	0.092959718	-0.678420021	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	SNR40_HUMAN	U5 small nuclear ribonucleoprotein 40 kDa protein	5z58E	5z58AE	SNR40_HUMAN - PRP8_HUMAN	-8.904		23	29	79.31%	No expression data available	0.5	0.066852424	0.396551724	0.026510444	-0.236048993	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	PSMD6_HUMAN	26S proteasome non-ATPase regulatory subunit 6	5ln3R	5ln3RU	PSMD6_HUMAN - PSMD7_HUMAN	-7.283	-4.068	24	29	82.76%	No expression data available	0.5	0	0.413793103	0	0	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	CLAP1_HUMAN	CLIP-associating protein 1	4k92A	4k92AB	CLAP1_HUMAN - CLAP1_HUMAN	-6.874	-2.959	26	39	66.67%	No expression data available	1	0	0.666666667	0	0	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	VINC_HUMAN	Vinculin	1ydiA	1ydiAB	VINC_HUMAN - ACTN4_HUMAN	-8.82	-27.987	24	24	100.00%	No expression data available	0.5	0.925734845	0.5	0.462867422	-4.082490665	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2	1ovlF	1ovlCF	NR4A2_HUMAN - NR4A2_HUMAN	-5.453	-10.13	19	28	67.86%	No expression data available	0.5	0.180863211	0.339285714	0.061364304	-0.334619548	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	HPGDS_HUMAN	Hematopoietic prostaglandin D synthase	1iyiC	1iyiCD	HPGDS_HUMAN - HPGDS_HUMAN	-5.115	-6.35	16	18	88.89%	No expression data available	0.5	0	0.444444444	0	0	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	RB11B_HUMAN	Ras-related protein Rab-11B	4ojkA	4ojkAC	RB11B_HUMAN - KGP2_RAT	-6.043	-12.578	25	32	78.13%	No expression data available	1	0.126606637	0.78125	0.098911435	-0.597721801	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	PGRP4_HUMAN	Peptidoglycan recognition protein 4	2eavB	2eavAB	PGRP4_HUMAN - PGRP4_HUMAN	-5.175	-9.744	23	31	74.19%	No expression data available	1	0.118110578	0.741935484	0.087630429	-0.453487471	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	BRD4_HUMAN	Bromodomain-containing protein 4	5eguB	5eguAB	BRD4_HUMAN - BRD4_HUMAN	-6.115	-11.797	26	35	74.29%	No expression data available	1	0.209159365	0.742857143	0.155375528	-0.950121356	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	CNTF_HUMAN	Ciliary neurotrophic factor	1cnt4	1cnt14	CNTF_HUMAN - CNTF_HUMAN	-5.645	-14.992	48	57	84.21%	No expression data available	1.5	0.087528528	1.263157895	0.110562351	-0.624124471	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	ATD2B_HUMAN	ATPase family AAA domain-containing protein 2B	3lxjA	3lxjAC	ATD2B_HUMAN - ATD2B_HUMAN	-5.118	-7.26	19	22	86.36%	No expression data available	0.5	0.025858619	0.431818182	0.011166222	-0.057148723	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	C1QBP_HUMAN	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	3rpxC	3rpxAC	C1QBP_HUMAN - C1QBP_HUMAN	-6.935	-17.223	26	32	81.25%	No expression data available	1	0.910506195	0.8125	0.739786283	-5.130417873	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	IL15_HUMAN	Interleukin-15	2z3rG	2z3rGK	IL15_HUMAN - IL15_HUMAN	-7.005	-13.016	38	41	92.68%	"adrenal gland, bone marrow, breast, caudate, cerebral cortex, cervix, uterine, colon, duodenum, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, oral mucosa, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.120041694	0.926829268	0.111258155	-0.779363375	
3hw3A	INFLUENZA A VIRU	POLYMERASE ACIDIC PROTEIN	BPTF_HUMAN	Nucleosome-remodeling factor subunit BPTF	3qzsB	3qzsAB	BPTF_HUMAN - BPTF_HUMAN	-5.583	-5.635	21	25	84.00%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, fallopian tube, gallbladder, kidney, liver, lung, nasopharynx, ovary, placenta, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0	0.42	0	0	
